	emotions
799	[2, 1, 3, 3, 2, 6, 2, 3, 3, 3, 2, 1, 2, 2, 2, 5, 2, 6, 3, 1, 6, 3, 2, 2, 2, 1, 2, 3, 1, 1, 6, 3, 6, 3, 2, 2, 3, 3, 1, 3, 1, 2, 5, 3, 1, 3, 2, 2, 6, 6, 2, 3, 1, 2, 2, 4, 1, 2, 1, 1, 2, 2, 2, 1, 3, 1, 1, 1, 1, 2, 2, 3, 2, 1, 2, 6, 2, 2, 1, 3, 1, 3, 6, 2, 3, 1, 1, 3, 2, 2, 2, 3, 3, 1, 2, 1, 2, 2, 3, 3]
800	[5, 6, 5, 1, 6, 6, 2, 2, 2, 2, 6, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 2, 2, 3, 2, 1, 6, 3, 5, 2, 6, 6, 1, 3, 2, 1, 2, 1, 1, 1, 6, 6, 2, 6, 2, 2, 6, 2, 3, 2, 2, 6, 6, 1, 4, 3, 1, 1, 6, 6, 6, 6, 2, 6, 1, 1, 2, 6, 2, 6, 6, 6, 1, 2, 2, 6, 1, 3, 5, 6, 1, 3, 2, 6, 3, 3, 2, 5, 6]
801	[2, 3, 6, 3, 6, 6, 2, 6, 6, 1, 3, 2, 1, 1, 2, 1, 1, 1, 6, 2, 6, 1, 1, 1, 1, 3, 6, 2, 3, 2, 4, 1, 3, 3, 3, 2, 3, 6, 3, 1, 1, 1, 1, 6, 1, 2, 6, 1, 2, 2, 1, 6, 2, 2, 1, 6, 6, 1, 2, 6, 1, 4, 6, 1, 1, 2, 6, 1, 6, 6, 2, 3, 6, 3, 6, 1, 1, 6, 2, 5, 6, 2, 2, 6, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 6, 2, 2, 1, 2, 1]
802	[2, 2, 1, 1, 2, 3, 6, 2, 2, 5, 2, 6, 4, 2, 2, 2, 6, 2, 6, 2, 1, 6, 6, 5, 6, 6, 2, 3, 5, 6, 6, 2, 2, 2, 2, 1, 2, 2, 2, 1, 6, 2, 6, 5, 2, 2, 1, 1, 2, 1, 2, 2, 6, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 2, 3, 1, 3, 3, 1, 6, 6, 4, 2, 2, 1, 2, 6, 3, 2, 4, 6, 2, 1, 6, 1, 2, 2, 6, 6, 1, 1, 2, 6, 2, 4, 2]
803	[6, 2, 2, 2, 6, 2, 2, 2, 2, 2, 3, 6, 6, 1, 2, 6, 2, 6, 6, 2, 2, 2, 6, 2, 2, 2, 3, 2, 1, 6, 6, 5, 5, 1, 2, 2, 1, 2, 6, 1, 1, 1, 6, 2, 1, 2, 1, 3, 2, 3, 6, 6, 2, 6, 1, 2, 2, 3, 6, 1, 1, 2, 1, 2, 3, 2, 1, 6, 6, 2, 6, 6, 3, 2, 1, 2, 6, 2, 6, 3, 6, 2, 6, 3, 6, 2, 2, 2, 5, 3, 2, 2, 1, 2, 4, 6, 6, 6, 2, 2]
804	[6, 2, 1, 6, 6, 6, 1, 6, 2, 2, 6, 2, 6, 6, 6, 2, 3, 2, 2, 6, 6, 1, 3, 6, 6, 6, 5, 6, 5, 5, 6, 6, 6, 2, 3, 6, 6, 1, 1, 1, 3, 6, 3, 6, 6, 6, 6, 6, 6, 2, 2, 6, 2, 2, 1, 6, 6, 6, 2, 1, 2, 3, 6, 6, 2, 6, 2, 2, 6, 2, 3, 6, 1, 3, 1, 1, 6, 1, 1, 1, 2, 6, 6, 6, 6, 4, 6, 1, 6, 3, 6, 1, 6, 2, 3, 3, 3, 6, 3, 3]
805	[6, 1, 2, 1, 6, 1, 1, 2, 3, 1, 2, 1, 2, 2, 1, 1, 5, 6, 5, 6, 2, 4, 1, 2, 1, 6, 2, 4, 6, 3, 6, 6, 6, 6, 2, 2, 2, 4, 1, 1, 1, 2, 5, 5, 6, 2, 4, 6, 6, 1, 6, 4, 6, 6, 2, 2, 1, 3, 1, 4, 2, 6, 2, 1, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 6, 6, 2, 6, 2, 1, 2, 1, 1, 1, 1, 4, 1, 3, 4, 6, 1, 1, 4, 1, 4, 6, 5]
806	[3, 6, 6, 6, 4, 6, 6, 1, 2, 6, 1, 1, 1, 6, 1, 3, 1, 6, 1, 1, 1, 1, 6, 6, 6, 1, 3, 1, 4, 6, 1, 1, 1, 1, 1, 1, 4, 1, 1, 3, 2, 4, 6, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2, 1, 2, 1, 6, 1, 1, 4, 4, 4, 2, 4, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 5, 1, 1, 4, 5, 2, 1, 1, 5, 2, 2, 6, 2, 1, 1, 3, 6, 6, 1]
807	[6, 3, 1, 2, 2, 1, 6, 5, 6, 2, 2, 1, 1, 1, 1, 2, 3, 1, 1, 6, 2, 6, 2, 2, 2, 3, 6, 2, 2, 2, 1, 4, 2, 2, 2, 5, 1, 2, 2, 1, 2, 2, 1, 1, 5, 2, 6, 6, 2, 2, 6, 2, 2, 2, 5, 5, 1, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 6, 2, 2, 5, 6, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 3, 2, 2, 1, 2, 4, 6, 1, 6, 6, 6, 6, 2, 6, 3]
808	[2, 2, 6, 6, 1, 1, 6, 4, 6, 2, 6, 2, 1, 6, 2, 6, 2, 5, 6, 2, 2, 6, 6, 6, 2, 6, 6, 6, 2, 6, 6, 6, 2, 2, 2, 5, 2, 2, 2, 3, 6, 6, 6, 6, 6, 6, 2, 2, 2, 2, 6, 2, 2, 6, 1, 1, 6, 6, 6, 1, 3, 2, 4, 3, 3, 2, 2, 3, 1, 2, 1, 1, 2, 2, 6, 6, 1, 1, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 1, 6, 2, 5, 5, 3, 2, 1, 3, 1, 3, 6]
809	[6, 2, 2, 4, 3, 2, 2, 6, 6, 3, 2, 1, 6, 2, 2, 2, 6, 6, 6, 1, 2, 6, 1, 1, 4, 1, 2, 5, 2, 1, 6, 6, 2, 6, 6, 1, 2, 2, 6, 1, 2, 2, 6, 3, 4, 2, 4, 2, 3, 2, 2, 6, 3, 2, 6, 2, 2, 6, 6, 6, 2, 2, 4, 2, 2, 2, 2, 2, 2, 3, 1, 6, 2, 3, 1, 6, 2, 2, 2, 6, 5, 3, 2, 3, 2, 2, 6, 2, 3, 3, 2, 2, 3, 2, 6, 2, 2, 6, 2, 2]
810	[2, 1, 5, 6, 3, 2, 3, 1, 6, 3, 2, 2, 6, 2, 2, 2, 1, 1, 1, 1, 6, 2, 1, 2, 6, 1, 6, 6, 1, 1, 1, 1, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 4, 6, 2, 6, 6, 1, 1, 1, 2, 1, 5, 1, 1, 1, 2, 2, 2, 2, 6, 2, 3, 3, 5, 2, 6, 2, 3, 1, 2, 1, 3, 1, 3, 6, 1, 2, 1, 2, 6, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 3, 2, 6, 1, 6, 6, 6]
811	[6, 2, 2, 6, 6, 2, 2, 2, 1, 1, 6, 6, 6, 6, 1, 2, 3, 6, 6, 3, 6, 1, 1, 1, 2, 3, 2, 3, 3, 3, 2, 6, 3, 3, 5, 1, 1, 1, 6, 2, 2, 6, 2, 6, 6, 1, 1, 2, 6, 2, 2, 1, 3, 2, 3, 2, 1, 1, 6, 1, 1, 3, 1, 2, 1, 1, 6, 1, 3, 1, 6, 1, 2, 6, 1, 1, 3, 6, 6, 1, 6, 6, 2, 2, 2, 3, 1, 6, 3, 3, 4, 6, 6, 6, 1, 6, 3, 1, 5, 3]
812	[2, 1, 2, 6, 3, 2, 4, 1, 3, 2, 1, 2, 1, 2, 1, 6, 2, 6, 2, 2, 2, 6, 2, 2, 2, 2, 1, 6, 4, 1, 2, 2, 6, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 6, 2, 2, 5, 4, 3, 6, 2, 1, 6, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1, 1, 4, 2, 6, 6, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 3, 1, 2, 1, 6]
813	[6, 2, 1, 1, 1, 3, 1, 2, 2, 4, 1, 3, 6, 2, 6, 4, 6, 6, 6, 1, 3, 3, 3, 6, 2, 3, 1, 6, 6, 6, 6, 6, 2, 6, 1, 2, 2, 3, 1, 1, 1, 1, 6, 6, 6, 2, 2, 6, 6, 2, 2, 2, 2, 2, 4, 1, 2, 1, 2, 1, 2, 2, 3, 2, 3, 2, 1, 1, 6, 1, 3, 1, 3, 2, 2, 5, 1, 4, 3, 2, 6, 1, 4, 3, 2, 2, 2, 3, 3, 3, 6, 2, 6, 6, 3, 6, 2, 4, 1, 2]
814	[2, 1, 6, 6, 2, 1, 2, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 3, 1, 1, 6, 6, 3, 6, 4, 5, 1, 4, 4, 6, 1, 1, 1, 1, 3, 6, 2, 1, 5, 6, 1, 6, 6, 3, 6, 2, 1, 3, 2, 2, 1, 2, 6, 6, 6, 2, 6, 4, 3, 4, 4, 6, 2, 2, 2, 6, 3, 2, 6, 6, 6, 2, 6, 5, 3, 3, 4, 6, 2, 2, 2, 1, 6, 6, 3, 4, 2, 1, 6, 1, 3, 4, 6]
815	[2, 6, 3, 2, 1, 3, 6, 2, 2, 6, 4, 2, 6, 6, 2, 6, 6, 2, 5, 6, 2, 6, 6, 6, 2, 6, 1, 6, 2, 1, 1, 1, 1, 2, 1, 1, 6, 1, 2, 6, 3, 2, 2, 6, 2, 6, 3, 6, 1, 1, 2, 3, 2, 2, 6, 5, 1, 2, 6, 6, 1, 6, 2, 1, 2, 3, 3, 2, 2, 1, 1, 1, 2, 6, 2, 1, 3, 1, 1, 6, 1, 1, 1, 2, 1, 1, 1, 1, 1, 4, 4, 3, 1, 1, 2, 1, 1, 1, 1, 1]
816	[2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 1, 1, 1, 1, 6, 5, 3, 3, 2, 5, 1, 1, 6, 6, 1, 2, 2, 3, 4, 4, 2, 2, 3, 1, 1, 1, 2, 6, 2, 6, 6, 2, 1, 5, 1, 2, 2, 6, 2, 1, 6, 1, 6, 2, 1, 1, 1, 1, 1, 1, 1, 3, 6, 2, 1, 1, 2, 1, 2, 2, 2, 6, 1, 1, 2, 3, 1, 3, 6, 1, 3, 6, 1, 6, 4, 2, 2, 1, 1, 1, 1, 1, 1, 6, 6, 1, 1, 1, 2, 6]
817	[6, 2, 1, 6, 2, 6, 6, 1, 6, 1, 5, 3, 2, 6, 3, 2, 2, 2, 4, 6, 3, 2, 3, 1, 3, 1, 4, 3, 3, 3, 3, 6, 4, 3, 1, 1, 6, 5, 4, 3, 2, 1, 3, 6, 2, 2, 1, 1, 3, 2, 3, 2, 2, 1, 6, 2, 3, 2, 3, 1, 3, 2, 3, 2, 1, 1, 6, 6, 3, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 6, 2, 6, 3, 3, 1, 3, 2, 1, 6, 3, 6, 3, 2, 1, 4, 2, 6, 6]
818	[1, 1, 1, 1, 2, 2, 2, 2, 6, 6, 6, 4, 3, 4, 4, 1, 1, 2, 4, 1, 3, 3, 2, 6, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 3, 4, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 4, 3, 2, 1, 1, 1, 4, 2, 3, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 3, 1, 3, 5, 1, 1, 1, 1, 1, 2, 3, 1, 1, 3, 6, 6]
819	[3, 6, 5, 2, 6, 2, 2, 2, 1, 2, 2, 2, 3, 1, 1, 1, 6, 5, 1, 3, 2, 2, 2, 1, 2, 3, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 6, 2, 2, 1, 6, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 6, 1, 3, 2, 2, 2, 2, 2, 1, 1, 1, 2, 3, 1, 1, 1, 5, 1, 2, 2, 2, 2, 2, 2, 2, 1, 3, 4, 2, 2, 1, 1, 3, 1, 2, 1, 3, 6, 6, 1, 1, 1, 2, 2]
820	[6, 6, 1, 1, 1, 6, 6, 6, 1, 1, 4, 2, 2, 2, 1, 1, 1, 1, 6, 1, 6, 1, 2, 1, 4, 5, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 2, 1, 2, 3, 1, 2, 3, 1, 6, 1, 6, 1, 1, 1, 2, 2, 1, 1, 6, 6, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 6, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 4, 1, 3, 6, 6, 6]
821	[6, 1, 1, 1, 3, 1, 6, 3, 4, 3, 2, 2, 3, 2, 6, 6, 1, 2, 2, 2, 2, 1, 4, 2, 2, 3, 6, 1, 2, 1, 2, 6, 6, 6, 2, 3, 6, 2, 2, 2, 6, 1, 4, 2, 2, 2, 5, 3, 1, 2, 1, 1, 2, 6, 3, 2, 3, 2, 5, 6, 1, 1, 6, 6, 1, 6, 2, 6, 5, 2, 6, 3, 1, 2, 6, 5, 6, 3, 2, 1, 2, 2, 2, 6, 3, 6, 1, 2, 2, 6, 1, 6, 2, 2, 6, 6, 1, 6, 3, 2]
822	[3, 3, 6, 2, 2, 1, 6, 6, 2, 2, 6, 2, 6, 1, 2, 4, 2, 3, 3, 2, 6, 6, 2, 2, 6, 2, 2, 6, 5, 2, 6, 1, 6, 2, 6, 6, 2, 6, 4, 1, 2, 2, 6, 6, 1, 2, 6, 6, 6, 6, 2, 4, 3, 3, 2, 2, 6, 3, 1, 6, 2, 2, 3, 6, 2, 2, 2, 6, 6, 6, 3, 3, 6, 2, 2, 2, 3, 2, 1, 6, 2, 1, 6, 6, 1, 3, 3, 2, 3, 2, 2, 3, 2, 1, 1, 6, 6, 3, 6, 2]
823	[2, 1, 6, 1, 2, 6, 3, 2, 2, 6, 2, 2, 2, 1, 1, 2, 2, 6, 6, 2, 2, 3, 2, 6, 2, 2, 6, 3, 2, 6, 2, 2, 2, 6, 2, 6, 6, 2, 1, 6, 2, 1, 3, 6, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 2, 2, 2, 6, 2, 2, 2, 1, 2, 2, 3, 2, 2, 1, 6, 1, 5, 3, 2, 2, 2, 2, 2, 3, 1, 2, 2, 4, 2, 6, 2, 2, 5, 2, 5, 2, 6, 2, 6, 2, 2, 2, 1, 2]
824	[1, 6, 5, 2, 2, 6, 6, 2, 2, 2, 2, 3, 6, 1, 2, 2, 2, 6, 2, 4, 4, 1, 2, 6, 2, 1, 1, 2, 6, 2, 2, 2, 1, 6, 2, 6, 2, 2, 6, 3, 3, 2, 2, 2, 1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 6, 2, 3, 2, 6, 2, 1, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 6, 1, 6, 6, 1, 2, 6, 2, 1, 1, 3, 1, 2, 2, 2, 6, 2, 2, 2, 2, 2, 3]
825	[1, 1, 1, 3, 6, 5, 1, 6, 1, 1, 2, 1, 1, 6, 3, 3, 1, 1, 2, 3, 1, 2, 1, 1, 2, 4, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 1, 1, 2, 1, 1, 2, 3, 6, 1, 1, 1, 1, 1, 6, 3, 2, 3, 2, 2, 1, 1, 1, 2, 6, 1, 2, 1, 1, 2, 1, 1, 1, 6, 2, 6, 1, 1, 2, 2, 1, 2, 1, 6, 2, 1, 2, 1, 2, 3, 2, 1, 3, 1, 2, 2, 2, 1, 1, 2, 6, 2, 1, 1, 3]
826	[1, 1, 6, 2, 6, 3, 6, 6, 2, 3, 6, 1, 2, 2, 6, 2, 1, 1, 1, 2, 2, 2, 1, 1, 4, 2, 1, 2, 3, 1, 1, 3, 2, 1, 2, 4, 2, 2, 3, 2, 1, 1, 1, 3, 6, 1, 6, 1, 2, 6, 6, 1, 6, 2, 6, 1, 6, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 6, 1, 1, 3, 1, 3, 1, 6, 2, 6, 2, 1, 1, 2, 3, 6, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 6, 3]
827	[1, 6, 6, 1, 1, 1, 1, 3, 2, 2, 1, 3, 6, 2, 1, 1, 3, 1, 1, 3, 1, 1, 1, 2, 2, 6, 2, 1, 2, 1, 1, 2, 3, 2, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 4, 1, 3, 2, 2, 3, 6, 2, 1, 4, 1, 1, 1, 6, 6, 1, 6, 2, 3, 5, 1, 3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 1, 2, 2, 1, 3, 3, 1, 1, 2, 3, 2, 1, 1, 3]
828	[6, 6, 6, 3, 2, 3, 3, 6, 2, 3, 2, 6, 6, 6, 6, 6, 6, 3, 6, 6, 3, 3, 6, 3, 4, 6, 6, 2, 6, 2, 3, 2, 6, 1, 6, 6, 1, 6, 3, 1, 2, 6, 1, 2, 6, 6, 6, 6, 6, 3, 6, 6, 4, 4, 6, 3, 1, 4, 6, 2, 6, 2, 6, 6, 6, 6, 3, 3, 1, 3, 6, 6, 5, 3, 1, 2, 6, 6, 2, 1, 3, 6, 6, 2, 1, 2, 6, 6, 4, 6, 1, 6, 1, 1, 1, 6, 6, 6, 6, 3]
829	[6, 1, 1, 1, 1, 6, 1, 1, 6, 3, 2, 6, 1, 1, 1, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 6, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 1, 3, 2, 6, 2, 1, 1, 1, 1, 1, 1, 2, 2, 6, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 3, 1, 2]
830	[1, 1, 2, 3, 2, 6, 1, 2, 1, 1, 4, 4, 2, 6, 6, 5, 1, 6, 6, 6, 2, 6, 1, 1, 1, 6, 2, 2, 6, 4, 1, 6, 1, 1, 4, 2, 1, 1, 3, 1, 6, 1, 6, 2, 1, 3, 6, 4, 6, 6, 6, 1, 1, 1, 1, 1, 6, 1, 1, 4, 6, 1, 2, 1, 2, 1, 1, 3, 4, 3, 1, 6, 1, 2, 6, 6, 6, 6, 3, 2, 4, 6, 6, 1, 1, 1, 4, 1, 1, 1, 1, 2, 6, 5, 1, 1, 2, 6, 1, 6]
831	[1, 2, 1, 4, 6, 5, 6, 3, 2, 1, 6, 3, 2, 3, 1, 2, 1, 1, 2, 6, 4, 4, 3, 6, 6, 1, 3, 6, 2, 1, 3, 2, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 2, 1, 2, 1, 6, 4, 6, 2, 2, 1, 6, 1, 1, 1, 2, 1, 2, 2, 6, 1, 6, 2, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2]
832	[1, 1, 6, 6, 3, 1, 6, 6, 6, 6, 6, 6, 6, 5, 2, 2, 6, 1, 2, 1, 6, 3, 6, 6, 2, 6, 2, 2, 3, 6, 6, 6, 4, 2, 4, 3, 6, 6, 6, 6, 6, 4, 1, 2, 1, 3, 3, 3, 2, 2, 2, 6, 2, 6, 2, 4, 2, 3, 1, 5, 4, 3, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 6, 6, 2, 4, 1, 2, 2, 2, 6, 1, 2, 2, 6, 3, 3, 6, 6]
833	[1, 1, 3, 3, 1, 3, 6, 4, 3, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 2, 2, 4, 4, 2, 3, 2, 2, 1, 1, 1, 1, 2, 1, 1, 3, 1, 3, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 1, 1, 3, 1, 1, 3, 1, 2, 2, 2, 2, 1, 4, 1, 6, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 6, 1, 1, 3, 1, 2, 2, 1, 6, 1, 1, 4, 2, 3, 1, 1, 1, 6, 1, 2, 1, 2, 6, 6]
834	[1, 2, 2, 2, 1, 3, 3, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 1, 1, 3, 2, 3, 2, 6, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 6, 2, 2, 3, 3, 2, 2, 6, 2, 2, 2, 2, 1, 2, 2, 4, 2, 2, 2, 1, 2, 4, 6, 1, 2, 1, 2, 1, 2, 4, 6, 1, 1, 2, 6, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 6, 3, 2, 2, 4, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 3, 6, 2]
835	[1, 2, 1, 2, 2, 6, 6, 1, 1, 6, 2, 2, 1, 1, 6, 2, 2, 1, 2, 2, 2, 6, 1, 3, 2, 1, 1, 2, 2, 1, 6, 1, 6, 3, 2, 1, 4, 1, 1, 4, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 2, 2, 4, 1, 1, 6, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 6, 1, 2, 1, 2, 2, 2, 2, 2, 4, 3, 2, 2, 2, 1, 2, 1, 1, 1, 1, 6, 6, 3]
836	[6, 3, 2, 6, 4, 3, 6, 6, 6, 6, 2, 6, 1, 6, 4, 2, 3, 6, 6, 1, 6, 4, 6, 1, 6, 2, 2, 3, 2, 2, 1, 2, 6, 6, 4, 2, 1, 1, 2, 2, 6, 2, 6, 3, 2, 6, 4, 2, 2, 2, 2, 2, 6, 6, 6, 5, 6, 2, 2, 2, 2, 2, 2, 3, 1, 1, 2, 1, 2, 1, 3, 6, 2, 2, 1, 3, 4, 3, 2, 2, 1, 6, 2, 1, 4, 1, 1, 2, 5, 5, 3, 2, 2, 2, 6, 2, 1, 2, 2, 2]
837	[2, 2, 2, 2, 3, 1, 3, 6, 2, 6, 6, 3, 2, 4, 1, 3, 6, 2, 3, 2, 6, 2, 2, 6, 1, 6, 6, 2, 6, 2, 1, 2, 3, 6, 6, 1, 1, 3, 1, 3, 1, 6, 6, 2, 2, 3, 2, 1, 6, 6, 2, 3, 2, 3, 2, 1, 2, 6, 4, 1, 2, 3, 6, 2, 2, 2, 2, 4, 1, 3, 6, 1, 1, 6, 1, 3, 2, 2, 1, 1, 6, 2, 2, 6, 6, 2, 2, 6, 6, 6, 1, 1, 4, 3, 2, 1, 6, 1, 1, 6]
838	[1, 2, 2, 2, 5, 1, 6, 2, 6, 1, 2, 6, 6, 5, 1, 1, 1, 1, 1, 4, 4, 6, 1, 3, 1, 3, 5, 6, 2, 5, 6, 6, 1, 1, 3, 6, 6, 4, 2, 1, 6, 2, 3, 6, 6, 1, 2, 6, 5, 3, 6, 1, 1, 5, 1, 1, 6, 1, 1, 5, 3, 3, 5, 6, 2, 1, 1, 4, 2, 2, 5, 2, 2, 2, 4, 2, 2, 5, 5, 3, 1, 6, 6, 6, 1, 6, 1, 4, 3, 2, 5, 6, 1, 3, 2, 2, 2, 1, 2, 6]
839	[2, 5, 6, 2, 3, 3, 6, 2, 1, 6, 2, 2, 2, 4, 5, 2, 2, 1, 6, 2, 2, 2, 1, 1, 6, 2, 2, 6, 1, 2, 1, 2, 1, 2, 2, 5, 2, 6, 1, 2, 2, 2, 6, 2, 2, 2, 2, 1, 6, 2, 1, 2, 1, 1, 1, 6, 2, 6, 6, 6, 6, 3, 6, 2, 2, 6, 6, 2, 6, 4, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 3, 6, 2, 2, 1, 2, 1, 2, 2, 2, 6, 1, 2, 6, 1, 1, 3]
840	[3, 1, 3, 6, 6, 6, 2, 6, 6, 3, 6, 2, 3, 1, 3, 1, 1, 1, 4, 6, 6, 2, 2, 2, 3, 5, 1, 2, 2, 5, 1, 6, 6, 2, 1, 1, 1, 2, 3, 2, 1, 1, 2, 2, 6, 4, 1, 1, 6, 1, 1, 1, 6, 1, 6, 2, 4, 1, 1, 6, 1, 6, 6, 1, 6, 1, 1, 1, 1, 6, 6, 6, 1, 3, 6, 6, 3, 4, 6, 6, 6, 5, 2, 2, 6, 3, 4, 4, 1, 1, 3, 6, 6, 1, 6, 6, 5, 1, 2, 3]
841	[6, 1, 6, 6, 2, 1, 2, 1, 6, 2, 6, 1, 2, 2, 1, 2, 6, 6, 1, 2, 1, 3, 2, 4, 1, 3, 4, 3, 1, 2, 6, 2, 1, 1, 6, 1, 6, 1, 1, 1, 5, 1, 2, 1, 2, 2, 2, 5, 1, 4, 6, 6, 2, 1, 1, 6, 4, 1, 6, 6, 6, 6, 4, 6, 1, 6, 1, 4, 6, 1, 5, 6, 1, 3, 6, 3, 6, 1, 1, 1, 4, 1, 1, 2, 2, 1, 2, 1, 6, 2, 1, 2, 2, 1, 1, 1, 1, 1, 3, 3]
842	[3, 1, 1, 2, 1, 1, 6, 2, 1, 1, 6, 2, 6, 3, 5, 2, 1, 1, 1, 1, 6, 1, 1, 6, 6, 1, 2, 3, 2, 1, 1, 2, 3, 2, 2, 6, 2, 1, 2, 6, 2, 1, 1, 6, 6, 1, 1, 2, 1, 2, 2, 6, 6, 3, 1, 2, 6, 2, 6, 1, 5, 1, 6, 1, 2, 1, 1, 2, 1, 6, 2, 3, 6, 2, 2, 1, 2, 1, 6, 1, 1, 1, 1, 2, 3, 2, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2]
843	[2, 2, 3, 2, 1, 1, 1, 6, 6, 3, 1, 1, 2, 2, 1, 2, 2, 1, 4, 1, 6, 1, 1, 3, 1, 1, 1, 1, 1, 1, 6, 2, 6, 1, 6, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 4, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 2, 3, 1, 1, 2]
844	[1, 4, 6, 2, 5, 2, 2, 1, 4, 1, 2, 6, 6, 6, 3, 6, 2, 6, 5, 6, 1, 1, 6, 3, 1, 2, 6, 4, 4, 1, 6, 2, 1, 2, 2, 2, 3, 3, 2, 3, 6, 2, 5, 2, 2, 2, 4, 1, 4, 6, 6, 4, 5, 4, 6, 5, 6, 6, 1, 6, 2, 3, 3, 2, 2, 3, 6, 6, 6, 6, 6, 3, 3, 5, 1, 6, 1, 2, 6, 6, 3, 1, 1, 2, 6, 6, 3, 6, 1, 2, 4, 6, 6, 3, 1, 2, 5, 6, 6, 6]
